Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI
10.889,10.889,0.0,10.889,10.889,1.0,640.0,0.25337154,-57.294373,14527.0,20.334265
11.367,11.367,0.0,11.367,11.367,1.0,657.0,0.18669763,8.538093,14654.0,24.23023
11.5,11.5,0.0,11.5,11.5,1.0,659.0,0.16647123,17.044127,14654.0,100.0
12.729,12.729,0.0,12.729,12.729,1.0,669.0,0.35852447,66.9342,15689.0,46.120716
12.86,12.86,0.0,12.86,12.86,0.0,673.0,0.36257628,61.441395,15689.0,49.87075
13.602,13.787,380.0,13.602,13.787,0.0,703.0,0.15826905,122.19615,17049.0,100.0
14.888,14.888,0.0,14.888,14.888,1.0,712.0,0.3829088,130.83684,17561.0,68.51144
15.981,15.981,0.0,15.981,15.981,1.0,724.0,0.49389976,86.79445,18686.0,100.0
17.045,17.045,60.0,17.0,17.0,0.0,730.0,0.66085774,79.44449,18496.0,43.43847
16.147,16.147,0.0,16.147,16.147,1.0,733.0,0.4986929,-7.3934374,18496.0,11.953529
16.843,16.843,0.0,16.843,16.843,1.0,735.0,0.5062413,47.364952,19891.0,86.27625
16.623,17.332,75.0,16.623,17.332,0.0,736.0,0.530855,74.3458,19966.0,89.52638
17.617,17.617,0.0,17.617,17.617,0.0,744.0,0.50822985,76.11323,21541.0,0.0
16.606,17.073,935.0,16.606,17.073,0.0,773.0,0.09065757,20.825043,21106.0,45.78196
17.184,17.781,429.0,17.184,17.728,0.0,779.0,0.13679925,121.141,21915.0,100.0
17.542,18.006,390.0,17.542,18.006,0.0,782.0,0.22127105,118.72497,22305.0,64.509384
17.923,17.923,0.0,17.923,17.923,1.0,793.0,0.32711217,-20.158087,22960.0,37.012634
17.505,17.505,450.0,17.25,17.25,0.0,813.0,0.017609358,-149.74669,19315.0,0.0
16.803,16.803,0.0,16.803,16.803,1.0,824.0,-0.42143783,-30.696877,19551.0,55.646652
15.847,15.847,0.0,15.847,15.847,1.0,877.0,0.18919313,53.9635,21231.0,26.027279
14.534,14.534,0.0,14.534,14.534,1.0,891.0,-0.24671443,-52.132423,19933.0,96.33344
15.272,15.272,0.0,15.272,15.272,1.0,895.0,-0.13488612,89.93438,19933.0,82.107216
14.3,14.3,500.0,13.988,13.988,0.0,910.0,-0.18594512,-94.329475,19633.0,5.3409004
14.166,14.166,0.0,14.166,14.166,0.0,937.0,-0.017705118,74.85188,18233.0,56.45544
14.336,14.336,0.0,14.336,14.336,1.0,940.0,0.05945654,67.63246,18233.0,69.76743
16.426,16.426,0.0,16.426,16.426,1.0,960.0,0.47955933,114.32184,19401.0,92.73803
16.3,16.3,0.0,16.3,16.3,0.0,966.0,0.4702016,50.283554,19401.0,37.181297
16.444,16.444,0.0,16.444,16.444,0.0,970.0,0.41952044,47.79267,19401.0,82.72372
15.096,15.096,0.0,15.096,15.096,1.0,976.0,0.1550584,-175.97694,19271.0,23.365095
14.95,14.95,0.0,14.95,14.95,1.0,1013.0,-0.033196554,-27.010647,19071.0,NaN
14.95,14.95,0.0,14.95,14.95,1.0,1014.0,-0.032833867,-24.68527,19071.0,NaN
14.95,14.95,0.0,14.95,14.95,1.0,1019.0,1.9198946E-4,-30.664433,19071.0,36.742435
14.255,14.255,0.0,14.255,14.255,1.0,1026.0,-0.11912907,-140.3262,19071.0,0.0
14.333,14.333,0.0,14.333,14.333,1.0,1040.0,-0.1525141,63.95968,18320.0,72.19384
14.263,14.263,0.0,14.263,14.263,1.0,1047.0,-0.13520138,36.897392,18571.0,89.80174
14.6,14.6,0.0,14.6,14.6,1.0,1060.0,0.086635716,-18.610556,18587.0,50.0
14.151,14.151,0.0,14.151,14.151,1.0,1070.0,-0.06601832,-92.56598,18587.0,38.54167
14.082,14.082,0.0,14.082,14.082,0.0,1073.0,-0.07853337,-87.46955,18587.0,44.27859
13.775,13.775,0.0,13.775,13.775,1.0,1074.0,-0.11159132,-137.372,18587.0,0.0
15.45,15.45,0.0,15.45,15.45,0.0,1095.0,0.2621627,66.28905,18587.0,87.878716
17.954,17.954,0.0,17.954,17.954,1.0,1141.0,0.41612855,60.4826,21923.0,73.24115
18.366,18.366,0.0,18.366,18.366,1.0,1142.0,0.44654247,87.7509,21923.0,67.89319
