,Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI,rawFeatures,features,rawPrediction,probability,prediction
41,10.11299991607666,10.11299991607666,0.0,10.11299991607666,10.11299991607666,1.0,494.0,0.015815509483218193,-77.61874389648438,2148.0,29.344654083251953,"[10.1129999161,10.1129999161,0.0,10.1129999161,10.1129999161,0.0158155094832,-77.6187438965,2148.0,29.3446540833]","[10.1129999161,10.1129999161,0.0,10.1129999161,10.1129999161,0.0158155094832,-77.6187438965,2148.0,29.3446540833]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
42,10.335000038146973,10.335000038146973,0.0,10.335000038146973,10.335000038146973,0.0,502.0,0.03825023025274277,22.67256736755371,2148.0,29.289907455444336,"[10.3350000381,10.3350000381,0.0,10.3350000381,10.3350000381,0.0382502302527,22.6725673676,2148.0,29.2899074554]","[10.3350000381,10.3350000381,0.0,10.3350000381,10.3350000381,0.0382502302527,22.6725673676,2148.0,29.2899074554]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
43,9.9350004196167,9.9350004196167,0.0,9.9350004196167,9.9350004196167,1.0,505.0,-0.01801057532429695,-131.943115234375,2148.0,0.0,"[9.93500041962,9.93500041962,0.0,9.93500041962,9.93500041962,-0.0180105753243,-131.943115234,2148.0,0.0]","[9.93500041962,9.93500041962,0.0,9.93500041962,9.93500041962,-0.0180105753243,-131.943115234,2148.0,0.0]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
44,10.229999542236328,10.229999542236328,0.0,10.229999542236328,10.229999542236328,0.0,510.0,-0.05119556561112404,16.188812255859375,2148.0,100.0,"[10.2299995422,10.2299995422,0.0,10.2299995422,10.2299995422,-0.0511955656111,16.1888122559,2148.0,100.0]","[10.2299995422,10.2299995422,0.0,10.2299995422,10.2299995422,-0.0511955656111,16.1888122559,2148.0,100.0]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
45,9.883000373840332,9.883000373840332,100.0,9.85200023651123,9.85200023651123,1.0,522.0,-0.11126081645488739,10.288206100463867,2248.0,65.35211944580078,"[9.88300037384,9.88300037384,100.0,9.85200023651,9.85200023651,-0.111260816455,10.2882061005,2248.0,65.3521194458]","[9.88300037384,9.88300037384,100.0,9.85200023651,9.85200023651,-0.111260816455,10.2882061005,2248.0,65.3521194458]","[28.9371226761,21.0628773239]","[0.578742453521,0.421257546479]",0.0
46,9.597999572753906,9.597999572753906,0.0,9.597999572753906,9.597999572753906,1.0,531.0,-0.12066005170345306,-23.743314743041992,3906.0,100.0,"[9.59799957275,9.59799957275,0.0,9.59799957275,9.59799957275,-0.120660051703,-23.743314743,3906.0,100.0]","[9.59799957275,9.59799957275,0.0,9.59799957275,9.59799957275,-0.120660051703,-23.743314743,3906.0,100.0]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
47,9.899999618530273,9.899999618530273,16.0,9.781000137329102,9.781000137329102,0.0,543.0,0.026792677119374275,-2.928867816925049,5130.0,23.98086166381836,"[9.89999961853,9.89999961853,16.0,9.78100013733,9.78100013733,0.0267926771194,-2.92886781693,5130.0,23.9808616638]","[9.89999961853,9.89999961853,16.0,9.78100013733,9.78100013733,0.0267926771194,-2.92886781693,5130.0,23.9808616638]","[26.8385163206,23.1614836794]","[0.536770326413,0.463229673587]",0.0
48,8.684000015258789,8.684000015258789,0.0,8.684000015258789,8.684000015258789,0.0,554.0,-0.2754819989204407,-61.713890075683594,5760.0,61.32926559448242,"[8.68400001526,8.68400001526,0.0,8.68400001526,8.68400001526,-0.27548199892,-61.7138900757,5760.0,61.3292655945]","[8.68400001526,8.68400001526,0.0,8.68400001526,8.68400001526,-0.27548199892,-61.7138900757,5760.0,61.3292655945]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
49,8.961999893188477,8.961999893188477,0.0,8.961999893188477,8.961999893188477,1.0,557.0,-0.23538845777511597,2.3969857692718506,5760.0,98.26384735107422,"[8.96199989319,8.96199989319,0.0,8.96199989319,8.96199989319,-0.235388457775,2.39698576927,5760.0,98.2638473511]","[8.96199989319,8.96199989319,0.0,8.96199989319,8.96199989319,-0.235388457775,2.39698576927,5760.0,98.2638473511]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
50,9.112000465393066,9.112000465393066,0.0,9.112000465393066,9.112000465393066,0.0,561.0,-0.14625011384487152,95.3070068359375,5760.0,78.19148254394531,"[9.11200046539,9.11200046539,0.0,9.11200046539,9.11200046539,-0.146250113845,95.3070068359,5760.0,78.1914825439]","[9.11200046539,9.11200046539,0.0,9.11200046539,9.11200046539,-0.146250113845,95.3070068359,5760.0,78.1914825439]","[23.3989736222,26.6010263778]","[0.467979472444,0.532020527556]",1.0
