,Open,High,Volume,Low,Close,Profit,id,MACD,CCI,OBV,RSI,prediction
0,8.4040002822876,8.45699977874756,1250,8.4040002822876,8.44099998474121,0,17,0.146524831652641,67.5863571166992,-1540,61.0772438049316,0
1,9.10700035095215,9.10700035095215,0,9.10700035095215,9.10700035095215,0,30,0.20939664542675,82.1169662475586,-1540,58.2237167358398,1
2,9.33699989318848,9.33699989318848,0,9.33699989318848,9.33699989318848,1,51,0.129407823085785,104.007797241211,-1390,100,1
3,9.69900035858154,9.69900035858154,0,9.69900035858154,9.69900035858154,0,52,0.167570307850838,137.449310302734,-1390,100,1
4,9.16600036621094,9.16600036621094,0,9.16600036621094,9.16600036621094,0,60,0.128111988306046,-59.1213264465332,-1390,0,1
5,10.4029998779297,10.4029998779297,0,10.4029998779297,10.4029998779297,1,76,0.277944833040237,98.7077102661133,-1390,88.2980804443359,1
6,11.0100002288818,11.0100002288818,0,11.0100002288818,11.0100002288818,0,99,0.216616943478584,0.261146456003189,-1390,40.3182792663574,1
7,10.1499996185303,10.1499996185303,0,10.1499996185303,10.1499996185303,1,106,-0.076273001730442,-76.6800003051758,-4315,47.9838180541992,1
8,10.1260004043579,10.1260004043579,0,10.1260004043579,10.1260004043579,1,117,-0.126504138112068,-19.228063583374,-4315,59.7796287536621,1
9,11.8590002059937,11.8590002059937,0,11.8590002059937,11.8590002059937,1,138,0.195868507027626,165.414184570313,-4455,100,1
10,12.6759996414185,12.6759996414185,0,12.6759996414185,12.6759996414185,0,145,0.411794066429138,95.0842742919922,-4430,96.1227569580078,1
11,11.8090000152588,11.8090000152588,0,11.8090000152588,11.8090000152588,1,170,0.01624165661633,-69.8781356811523,-4120,18.3857707977295,1
12,12.1059999465942,12.1059999465942,0,12.1059999465942,12.1059999465942,1,182,0.021769670769572,72.5172271728516,-3270,36.4372749328613,1
13,13.3699998855591,13.3699998855591,0,13.3699998855591,13.3699998855591,1,193,0.284791469573975,108.337348937988,-2470,100,1
14,13.3149995803833,13.3149995803833,0,13.3149995803833,13.3149995803833,1,195,0.31755605340004,71.5370788574219,-2270,63.9718017578125,1
15,13.2159996032715,13.2159996032715,0,13.2159996032715,13.2159996032715,0,198,0.310077786445618,24.0558776855469,-1960,45.2722053527832,1
16,12.0880002975464,12.0880002975464,0,12.0880002975464,12.0880002975464,0,211,-0.138418972492218,-77.3486328125,-1620,0,1
17,11.3800001144409,11.3800001144409,0,11.3800001144409,11.3800001144409,1,225,-0.230758532881737,-117.651702880859,-1620,0,1
18,11.7779998779297,12.0100002288818,170,11.7779998779297,12.0100002288818,0,227,-0.197215229272842,1.87676727771759,-1050,96.6257247924805,0
19,11.66100025177,11.8450002670288,600,11.66100025177,11.8450002670288,0,229,-0.178511738777161,-21.7851123809814,-450,61.1449661254883,0
20,11.6630001068115,11.6630001068115,0,11.6630001068115,11.6630001068115,0,236,-0.200068637728691,38.4292144775391,-306,100,1
21,12.2840003967285,12.2840003967285,0,12.2840003967285,12.2840003967285,0,262,0.102493904531002,-40.21923828125,-306,0,1
22,10.1590003967285,10.1590003967285,0,10.1590003967285,10.1590003967285,1,272,-0.429793506860733,-91.2009658813477,-910,23.5293865203857,1
23,10.3559999465942,10.6870002746582,965,10.3559999465942,10.6870002746582,1,280,-0.311790823936462,-6.38574123382568,-545,31.9361667633057,1
24,10.9119997024536,10.9119997024536,0,10.9119997024536,10.9119997024536,1,282,-0.247682884335518,62.5023803710937,-545,99.0990753173828,1
25,10.0790004730225,10.0790004730225,0,10.0790004730225,10.0790004730225,0,295,-0.233034864068031,-102.082473754883,-145,15.5357103347778,1
26,10.4530000686646,10.4530000686646,9,10.4530000686646,10.4530000686646,1,298,-0.249073714017868,-23.744966506958,-136,81.5878067016602,1
27,10.7469997406006,10.7469997406006,0,10.7469997406006,10.7469997406006,0,302,-0.120582476258278,53.7439842224121,-121,64.345100402832,1
28,10.2290000915527,10.2290000915527,0,10.2290000915527,10.2290000915527,0,327,-0.137526378035545,4.899085521698,1793,53.6481132507324,1
29,10.3809995651245,10.3809995651245,0,10.3809995651245,10.3809995651245,0,340,0.017007675021887,13.3299865722656,1693,29.8303756713867,1
30,10.2360000610352,10.2360000610352,0,10.2360000610352,10.2360000610352,1,345,-0.007159729488194,-85.5266952514648,2053,35.3494606018066,1
31,10.6800003051758,10.6800003051758,0,10.6800003051758,10.6800003051758,0,348,0.036468841135502,119.160308837891,2353,81.267578125,1
32,10.9250001907349,10.9250001907349,0,10.9250001907349,10.9250001907349,0,355,0.108718752861023,101.234718322754,2103,67.1256637573242,1
33,10.5,10.5,1500,10.5,10.5,1,368,-0.014008493162692,-20.4756259918213,3903,55.364803314209,0
34,10.5,10.5,3400,10.5,10.5,0,369,-0.013928878121078,-12.6704578399658,503,26.0663318634033,0
35,10.0279998779297,10.0279998779297,0,10.0279998779297,10.0279998779297,0,413,-0.078065596520901,-4.75208187103272,2178,24.2553234100342,1
36,9.50899982452393,9.50899982452393,200,9.38799953460693,9.38799953460693,0,417,-0.164036273956299,-146.500030517578,1378,0,0
37,10.3570003509521,10.3570003509521,0,10.3570003509521,10.3570003509521,0,473,0.150045305490494,60.2827301025391,1948,49.5999908447266,1
38,10.0109996795654,10.0959997177124,0,10.0109996795654,10.0959997177124,1,477,0.081348866224289,-75.0400009155274,1948,22.3684234619141,1
39,10.7119998931885,10.7119998931885,0,10.539999961853,10.539999961853,0,484,0.141000390052795,71.3520431518555,1948,59.9067649841309,1
